Member_number,Date,itemDescription
2018,04-01-2015,frozen meals
1182,01-09-2015,ice cream
3401,02-08-2015,pork
4547,18-01-2015,chewing gum
3547,21-10-2015,tropical fruit
4831,06-04-2015,whole milk
2851,01-01-2015,whole milk
3072,28-02-2015,bottled water
1398,15-04-2015,sausage
1779,28-10-2015,whole milk
1823,27-11-2015,whole milk
3360,14-11-2015,whole milk
1565,15-10-2015,pork
4321,08-05-2015,curd
1293,05-03-2015,dessert
3331,25-07-2015,waffles
2408,19-05-2015,onions
2742,10-10-2015,misc. beverages
3934,01-05-2015,shopping bags
4742,22-06-2015,white wine
4405,22-07-2015,frankfurter
3229,25-03-2015,white bread
2817,22-12-2015,pork
2741,17-02-2015,other vegetables
3562,30-12-2015,pork
4442,10-06-2015,berries
2022,05-02-2015,frankfurter
4380,03-11-2015,root vegetables
3687,22-12-2015,finished products
2077,07-05-2015,bottled water
3273,15-03-2015,margarine
3736,27-11-2015,soda
3190,28-03-2015,hamburger meat
3295,28-07-2015,root vegetables
3276,30-06-2015,root vegetables
4405,06-01-2015,soda
4266,31-07-2015,canned beer
1372,25-06-2015,frozen fish
1242,13-12-2015,beverages
4820,01-05-2015,pip fruit
4702,08-11-2015,pot plants
3687,16-07-2015,pork
4115,20-03-2015,fruit/vegetable juice
2236,03-02-2015,fruit/vegetable juice
1026,15-03-2015,fruit/vegetable juice
2678,20-03-2015,tropical fruit
1934,04-08-2015,yogurt
3525,14-02-2015,canned beer
1354,29-11-2015,canned beer
2782,09-04-2015,cream cheese 
4456,16-05-2015,bottled water
4869,03-04-2015,sausage
2454,26-08-2015,soda
4222,20-08-2015,newspapers
1358,11-09-2015,whole milk
3393,15-02-2015,pot plants
1615,03-12-2015,yogurt
4734,12-07-2015,roll products 
4946,04-11-2015,soft cheese
2419,22-08-2015,frozen meals
4989,03-06-2015,ice cream
2961,27-05-2015,frankfurter
2707,07-03-2015,meat
2010,06-11-2015,soda
1502,16-04-2015,butter milk
2600,29-04-2015,frozen potato products
3603,30-01-2015,other vegetables
4352,14-04-2015,frankfurter
1477,16-05-2015,misc. beverages
4938,24-11-2015,sausage
2745,27-01-2015,butter
2738,09-11-2015,frankfurter
4170,19-01-2015,bottled water
3776,17-05-2015,kitchen towels
1062,18-09-2015,other vegetables
1546,03-01-2015,butter
2020,19-11-2015,sausage
2366,18-01-2015,frankfurter
1107,03-01-2015,liver loaf
1407,29-07-2015,white wine
3718,26-02-2015,frankfurter
4808,26-07-2015,meat
2940,21-05-2015,canned beer
3048,10-12-2015,chicken
3165,15-06-2015,other vegetables
4306,28-12-2015,pip fruit
4302,05-11-2015,other vegetables
4516,29-03-2015,yogurt
3582,31-03-2015,root vegetables
1534,10-07-2015,shopping bags
1844,24-07-2015,UHT-milk
1218,05-07-2015,whole milk
4482,30-11-2015,hamburger meat
2574,11-12-2015,frozen vegetables
2767,27-01-2015,root vegetables
2794,29-09-2015,sausage
4228,26-03-2015,whole milk
3062,08-06-2015,beef
2365,21-06-2015,sausage
3775,07-07-2015,pork
2232,06-05-2015,bottled beer
